Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de crianças de 1 (um) ano de idade vacinadas na APS contra Difteria, Tétano, Coqueluche, Hepatite B, infecções causadas por haemophilus influenzae tipo b e Poliomielite inativada"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
RS;431175;MANOEL VIANA;18;22;82;22;15;6996;16;147;7307;
MG;315053;PINGO-D'ÁGUA;18;22;82;22;17;5544;15;129;4986;
BA;290480;CAATIBA;18;22;82;22;19;6624;19;116;6488;
MG;310950;CABO VERDE;18;22;82;22;19;9057;30;116;14075;
MG;316120;SÃO FRANCISCO DE PAULA;18;22;82;22;20;6980;19;110;6520;
SC;420410;CAXAMBU DO SUL;18;22;82;22;22;5534;14;100;3551;
RS;431930;SÃO PAULO DAS MISSÕES;18;22;82;22;9;6533;8;244;5720;
RS;430410;CAMPOS BORGES;18;23;78;23;10;3978;8;230;3295;
SC;421915;VARGEM;18;23;78;23;11;3991;7;209;2432;
MT;510620;NOVA BRASILÂNDIA;18;23;78;23;11;4722;9;209;3805;
TO;171875;RIO SONO;18;23;78;23;13;4967;17;177;6488;
SP;353320;NOVA INDEPENDÊNCIA;18;23;78;23;13;5274;10;177;4053;
MG;310750;BOM JARDIM DE MINAS;18;23;78;23;17;7262;15;135;6459;
RS;431290;NOVA BASSANO;18;23;78;23;19;10030;19;121;10005;
SP;352115;IPIGUÁ;18;23;78;23;20;6904;16;115;5476;
RO;110180;VALE DO PARAÍSO;18;23;78;23;23;7589;20;100;6656;
RO;110003;CABIXI;18;24;75;19;24;6339;20;79;5188;
TO;171884;SANDOLÂNDIA;18;24;75;24;14;4323;11;171;3373;
SP;354180;QUEIROZ;18;24;75;24;15;4364;12;160;3460;
SP;351560;FERNANDO PRESTES;18;24;75;24;17;7700;13;141;5794;
RN;241340;SERRA NEGRA DO NORTE;18;24;75;24;17;8115;17;141;8092;
SP;351070;CARDOSO;18;24;75;24;26;12030;27;92;12349;
BA;292935;SÃO JOSÉ DA VITÓRIA;18;24;75;24;26;6731;22;92;5608;
MT;510269;CANABRAVA DO NORTE;18;24;75;24;9;4450;10;267;4728;
GO;522068;SIMOLÂNDIA;18;25;72;25;17;5654;21;147;6879;
PR;410600;CONGONHINHAS;18;26;69;19;26;8132;28;73;8857;
PI;220730;PAES LANDIM;18;26;69;26;14;4721;12;186;4126;
SP;351790;GUARACI;18;27;67;19;27;9886;31;70;11287;
SC;421030;MAJOR VIEIRA;18;27;67;27;18;7922;19;150;8156;
PR;412470;SÃO JERÔNIMO DA SERRA;18;28;64;28;31;10127;34;90;11128;
RN;240950;PEDRA GRANDE;18;29;62;29;19;4696;13;153;3199;
RS;430087;ARARICÁ;18;30;60;21;30;7646;23;70;5771;
RN;240530;JANUÁRIO CICCO;18;31;58;26;31;8977;36;84;10275;
MG;315290;PRATÁPOLIS;18;31;58;31;17;9036;16;182;8566;
RS;430080;ANTÔNIO PRADO;18;31;58;31;36;12783;37;86;13045;
SE;280200;DIVINA PASTORA;18;33;55;33;16;5020;17;206;5215;
ES;320050;APIACÁ;18;33;55;33;21;8187;19;157;7554;
BA;292390;PAU BRASIL;18;33;55;33;23;8042;28;143;9686;
RS;431395;PANTANO GRANDE;18;36;50;36;23;9166;23;157;9083;
SE;280530;PIRAMBU;18;36;50;36;37;9149;38;97;9359;
MG;311545;CATUJI;18;45;40;28;45;8998;31;62;6257;
RJ;330093;CARAPEBUS;18;47;38;47;40;14912;45;118;16586;
BA;293230;UBATÃ;18;49;37;49;23;12442;51;213;27263;
SP;352330;ITARIRI;18;52;35;52;32;13181;43;163;17598;
ES;320330;MANTENÓPOLIS;18;62;29;62;48;15933;47;129;15503;
PA;150747;SÃO JOÃO DE PIRABAS;18;63;29;63;63;16538;89;100;23244;
RO;110092;CHUPINGUAIA;18;66;27;66;35;9705;41;189;11472;
PA;150790;SOURE;18;66;27;66;76;18028;108;87;25565;
RS;431120;JÚLIO DE CASTILHOS;18;70;26;70;71;20973;65;99;19224;
MA;210596;LAGOA GRANDE DO MARANHÃO;18;72;25;72;48;12289;45;150;11464;
PA;150277;CURIONÓPOLIS;18;79;23;79;78;17825;78;101;17846;
MS;500110;AQUIDAUANA;180;251;72;251;214;48337;213;117;48029;
AC;120050;SENA MADUREIRA;180;262;69;262;195;36809;246;134;46511;
MG;314790;PASSOS;180;359;50;359;367;103103;410;98;115337;
SP;354870;SÃO BERNARDO DO CAMPO;1803;2147;84;2147;2413;666141;3059;89;844483;
PI;220370;ESPERANTINA;181;223;81;223;235;47618;197;95;39848;
MG;313760;LAGOA SANTA;181;249;73;249;271;77296;230;92;65657;
ES;320090;BARRA DE SÃO FRANCISCO;182;197;92;197;172;41546;186;115;44979;
SC;421580;SÃO BENTO DO SUL;182;201;91;201;165;48028;293;122;85421;
PR;411180;JACAREZINHO;182;214;85;214;193;43019;176;111;39322;
MT;510515;JUÍNA;182;215;85;215;244;43685;230;88;41101;
BA;293015;SERRA DO RAMALHO;182;221;82;221;153;30841;156;144;31416;
PE;260680;IGARASSU;182;403;45;403;373;92456;477;108;118370;
MG;311120;CAMPO BELO;183;201;91;201;178;57163;169;113;54186;
RS;430040;ALEGRETE;183;245;75;245;197;64066;224;124;73028;
SC;421130;NAVEGANTES;183;387;47;387;404;80676;419;96;83626;
SP;353470;OURINHOS;184;206;89;206;193;56191;393;107;114352;
CE;230870;MORADA NOVA;184;221;83;221;224;60780;228;99;61738;
GO;520860;GOIANÉSIA;184;260;71;260;265;64120;294;98;71075;
MA;210320;CHAPADINHA;184;457;40;356;457;81182;451;78;80195;
SE;280300;ITABAIANINHA;185;201;92;201;190;44322;181;106;42166;
PE;261250;SANTA CRUZ DO CAPIBARIBE;185;350;53;350;240;61874;426;146;109897;
MG;313170;ITABIRA;185;359;52;359;372;108951;413;97;120904;
SP;352470;JAGUARIÚNA;186;221;84;221;180;44332;239;123;58722;
CE;231230;SÃO BENEDITO;187;216;87;216;213;44851;229;101;48131;
PE;261530;TIMBAÚBA;187;229;82;229;208;56569;194;110;52802;
RN;240060;ALMINO AFONSO;19;19;100;19;10;4323;11;190;4710;
TO;171200;LAJEADO;19;19;100;19;12;3384;11;158;3167;
PR;411870;PAULO FRONTIN;19;19;100;19;20;7398;20;95;7387;
SP;354840;SANTÓPOLIS DO AGUAPEÍ;19;20;95;20;10;4848;10;200;4817;
PI;220795;NOVA SANTA RITA;19;20;95;20;12;4673;11;167;4383;
RS;430955;HARMONIA;19;20;95;20;12;6137;10;167;4917;
TO;170305;BANDEIRANTES DO TOCANTINS;19;20;95;20;13;3529;13;154;3592;
TO;171570;PALMEIRANTE;19;20;95;20;15;4961;18;133;6131;
RN;241240;SÃO JOSÉ DO SERIDÓ;19;20;95;20;15;5270;13;133;4665;
PB;250057;ALGODÃO DE JANDAÍRA;19;20;95;20;16;3251;13;125;2577;
SC;421507;RIQUEZA;19;20;95;20;16;5497;13;125;4561;
CE;230180;BAIXIO;19;20;95;20;16;6376;16;125;6303;
TO;172030;SÃO SEBASTIÃO DO TOCANTINS;19;20;95;20;17;4552;18;118;4852;
PR;410785;FLOR DA SERRA DO SUL;19;20;95;20;17;5719;14;118;4603;
RS;430240;BOM RETIRO DO SUL;19;20;95;20;23;7721;37;87;12390;
MG;313390;ITAVERAVA;19;21;90;21;11;6771;9;191;5369;
RS;430370;CAMPINA DAS MISSÕES;19;21;90;21;12;6056;11;175;5398;
PB;251570;SERRA GRANDE;19;21;90;21;13;3652;10;162;2916;
SP;355495;TUIUTI;19;21;90;21;14;5979;16;150;6977;
SC;421223;PARAÍSO;19;21;90;21;15;4678;11;140;3360;
RS;430070;ANTA GORDA;19;21;90;21;15;6585;14;140;5961;
MG;316910;TOLEDO;19;21;90;21;17;7489;14;124;6297;
MG;310530;BANDEIRA DO SUL;19;21;90;21;20;6759;17;105;5778;
SP;350300;ARAMINA;19;21;90;21;22;6760;18;95;5655;
RS;431445;PINHAL;19;21;90;21;6;3085;5;350;2580;
GO;522026;SÃO MIGUEL DO PASSA QUATRO;19;21;90;21;8;4791;7;263;4082;
MG;310480;AUGUSTO DE LIMA;19;21;90;21;8;4832;8;263;4851;
MG;310760;BOM JESUS DA PENHA;19;22;86;22;12;5055;10;183;4244;
MG;314315;MONTE FORMOSO;19;22;86;22;13;4601;14;169;4923;
PI;221063;SEBASTIÃO LEAL;19;22;86;22;14;5417;11;157;4303;
RN;241050;RAFAEL FERNANDES;19;22;86;22;16;5570;15;138;5128;
SE;280260;GRACHO CARDOSO;19;22;86;22;17;5849;17;129;5824;
RS;431675;SANTA CLARA DO SUL;19;22;86;22;20;7969;17;110;6681;
SP;352420;JABORANDI;19;22;86;22;20;8006;17;110;6946;
MG;312820;GUARACIABA;19;22;86;22;22;10528;22;100;10315;
MG;314490;NOVA MÓDICA;19;22;86;22;7;4352;6;314;3573;
MG;314020;MARIPÁ DE MINAS;19;22;86;22;8;3858;6;275;2987;
SC;421090;MODELO;19;23;83;23;10;4426;10;230;4218;
PB;251400;SÃO JOÃO DO CARIRI;19;23;83;23;12;4684;11;192;4184;
RS;430807;FAZENDA VILANOVA;19;23;83;23;12;4990;11;192;4608;
RN;241470;VÁRZEA;19;23;83;23;15;5765;14;153;5515;
MG;310163;ALFREDO VASCONCELOS;19;23;83;23;16;7971;14;144;6981;
PB;250407;CARAÚBAS;19;23;83;23;17;4700;15;135;4185;
PR;410300;BOA ESPERANÇA;19;23;83;23;19;5169;15;121;4047;
MG;310770;BOM JESUS DO AMPARO;19;23;83;23;19;5969;20;121;6133;
PR;411680;NOVA CANTU;19;23;83;23;24;6471;19;96;5061;
MG;312385;ENTRE FOLHAS;19;23;83;23;24;6524;20;96;5377;
PI;220970;SÃO FRANCISCO DO PIAUÍ;19;24;79;24;13;6173;13;185;6420;
SP;352630;LAGOINHA;19;24;79;24;15;6610;11;160;4889;
RS;430840;FORMIGUEIRO;19;24;79;24;16;6069;17;150;6616;
SC;420860;JABORÁ;19;24;79;24;18;5005;14;133;3918;
SC;421330;PONTE ALTA;19;24;79;24;19;5578;16;126;4650;
BA;291990;MACURURÉ;19;24;79;24;19;7254;20;126;7787;
TO;171890;SANTA ROSA DO TOCANTINS;19;24;79;24;23;5297;21;104;4846;
PI;220010;AGRICOLÂNDIA;19;24;79;24;23;6023;20;104;5131;
SC;421920;VIDAL RAMOS;19;24;79;24;23;6617;22;104;6329;
MG;311810;CONGONHAS DO NORTE;19;24;79;24;8;4885;8;300;5046;
RS;430471;CARAÁ;19;24;79;24;8;7834;8;300;8350;
RJ;330220;ITAPERUNA;19;241;8;241;274;81157;350;88;103800;
RS;430185;BARRA DO GUARITA;19;25;76;25;10;3644;9;250;3257;
SC;420980;LEOBERTO LEAL;19;25;76;25;12;4077;9;208;3000;
PI;220557;LAGOA DE SÃO FRANCISCO;19;25;76;25;20;6679;20;125;6777;
RN;241415;TENENTE LAURENTINO CRUZ;19;25;76;25;26;6597;24;96;6019;
TO;170560;CONCEIÇÃO DO TOCANTINS;19;26;73;26;13;4763;11;200;4087;
TO;171050;ITACAJÁ;19;26;73;26;29;6174;35;90;7452;
SP;352550;JOANÓPOLIS;19;27;70;20;27;8488;43;74;13338;
RN;240185;CAIÇARA DO NORTE;19;27;70;27;16;6245;17;169;6561;
GO;521440;NAZÁRIO;19;27;70;27;23;9193;23;117;9260;
MG;310050;AÇUCENA;19;27;70;27;27;9745;26;100;9368;
GO;521973;SANTO ANTÔNIO DE GOIÁS;19;27;70;27;28;8094;22;96;6440;
CE;230150;ARNEIROZ;19;28;68;28;21;7345;22;133;7844;
PR;410950;GUARAQUEÇABA;19;28;68;28;26;8115;24;108;7594;
GO;521100;ITAPIRAPUÃ;19;28;68;28;31;8459;17;90;4685;
PB;250210;BOA VENTURA;19;29;66;20;29;6382;24;69;5307;
SP;351210;COLÔMBIA;19;29;66;20;29;7713;23;69;6216;
RN;240970;PEDRO AVELINO;19;29;66;29;18;6679;18;161;6653;
MG;312245;DIVISÓPOLIS;19;29;66;29;18;8678;23;161;11211;
SC;420950;LAURENTINO;19;30;63;21;30;7586;28;70;7063;
BA;291590;ITANAGRA;19;30;63;30;16;5876;18;188;6436;
AC;120035;MARECHAL THAUMATURGO;19;30;63;30;19;3234;113;158;19299;
RS;430693;ENTRE-IJUÍS;19;30;63;30;28;10266;23;107;8411;
SP;352020;IGARATÁ;19;31;61;25;31;9531;31;81;9583;
PR;412110;QUINTA DO SOL;19;31;61;31;18;5324;15;172;4508;
PB;251680;TRIUNFO;19;31;61;31;19;9705;19;163;9464;
RO;110160;THEOBROMA;19;31;61;31;26;9379;29;119;10395;
MT;510279;CARLINDA;19;32;59;22;32;9715;34;69;10199;
MA;210923;PRESIDENTE MÉDICI;19;32;59;32;27;6741;28;119;7070;
MG;314587;ORIZÂNIA;19;36;53;36;34;8573;32;106;8079;
RS;431460;PIRATINI;19;37;51;37;28;12684;45;132;20704;
PI;220465;ILHA GRANDE;19;38;50;38;44;10737;39;86;9457;
PE;261200;SAIRÉ;19;39;49;39;40;11822;33;98;9764;
RS;430480;CARLOS BARBOSA;19;40;48;26;40;13429;89;65;30241;
CE;230526;IBARETAMA;19;42;45;42;46;11177;55;91;13369;
MA;210430;GODOFREDO VIANA;19;53;36;53;35;9809;43;151;11963;
MA;210020;ALCÂNTARA;19;56;34;56;54;18230;65;104;22112;
BA;290340;BELMONTE;19;59;32;59;57;16603;80;104;23437;
PE;260100;ANGELIM;19;60;32;60;35;11376;35;171;11226;
PI;220672;NAZÁRIA;19;60;32;60;53;10387;44;113;8602;
PA;150700;SANTO ANTÔNIO DO TAUÁ;19;66;29;66;71;16669;136;93;31918;
MG;311050;CAMANDUCAIA;19;68;28;48;68;17332;86;71;21801;
MG;316295;SÃO JOSÉ DA LAPA;19;88;22;73;88;20914;102;83;24135;
SP;350920;CAJAMAR;190;233;82;233;251;49988;391;93;77934;
MS;500620;NOVA ANDRADINA;190;239;79;239;200;49153;225;120;55224;
SP;355645;VARGEM GRANDE PAULISTA;191;217;88;217;204;45051;242;106;53468;
CE;230428;EUSÉBIO;191;397;48;250;397;54620;395;63;54337;
AC;120020;CRUZEIRO DO SUL;191;411;46;411;483;85008;506;85;89072;
MS;500540;MARACAJU;192;249;77;249;197;43695;217;126;48022;
PE;261060;PAUDALHO;192;250;77;250;281;65476;244;89;56933;
CE;230470;GRANJA;192;251;76;251;238;57610;227;105;54962;
MG;311340;CARATINGA;192;285;67;285;287;78057;340;99;92603;
SP;350160;AMERICANA;193;211;91;211;173;52157;805;122;242018;
GO;521000;INHUMAS;194;233;83;233;227;57235;211;103;53259;
MG;317130;VIÇOSA;194;240;81;240;244;65576;295;98;79388;
MA;210330;CODÓ;194;523;37;364;523;102788;626;70;123116;
CE;230250;BREJO SANTO;195;217;90;217;248;51254;241;88;49842;
SP;351960;IBITINGA;195;225;87;225;135;34250;238;167;60600;
SP;351840;GUARATINGUETÁ;195;253;77;253;180;50678;436;141;122505;
AL;270630;PALMEIRA DOS ÍNDIOS;195;407;48;308;407;74449;401;76;73337;
MA;210232;BURITICUPU;196;295;66;295;289;53588;394;102;72983;
SP;350550;BARRETOS;196;351;56;295;351;100918;427;84;122833;
SP;352400;ITUPEVA;197;224;88;224;161;39486;256;139;62813;
RS;431410;PASSO FUNDO;197;356;55;276;356;83484;872;78;204722;
BA;291750;JACOBINA;198;334;59;272;334;69352;388;81;80635;
RJ;330420;RESENDE;198;489;40;402;489;130572;496;82;132312;
SP;352700;LINDÓIA;2;10;20;2;10;5973;14;20;8092;
MG;313507;JAMPRUCA;2;11;18;11;13;4385;16;85;5429;
TO;171180;JUARINA;2;11;18;11;9;2468;8;122;2184;
GO;521015;IPIRANGA DE GOIÁS;2;13;15;13;5;3111;5;260;2893;
RS;431173;MAMPITUBA;2;15;13;15;7;3274;6;214;2973;
BA;291020;DOM MACEDO COSTA;2;17;12;17;18;5239;14;94;4065;
SP;354760;SANTA ROSA DE VITERBO;2;17;12;2;17;6242;72;12;26753;
GO;521340;MOIPORÁ;2;2;100;2;0;2192;0;0;1501;
SP;353286;NOVA CASTILHO;2;2;100;2;1;1615;1;200;1278;
RS;430593;CORONEL PILAR;2;2;100;2;1;1661;1;200;1614;
RS;430192;BARRA DO RIO AZUL;2;2;100;2;1;2022;1;200;1655;
SC;421810;TIMBÉ DO SUL;2;22;9;22;12;5376;12;183;5343;
PR;411545;MARQUINHO;2;23;9;23;21;5687;16;110;4340;
MG;310180;ALPERCATA;2;23;9;7;23;6380;27;30;7436;
MA;210667;MILAGRES DO MARANHÃO;2;24;8;24;15;7271;17;160;8483;
MG;312015;CRISÓLITA;2;24;8;24;20;5210;26;120;6760;
RO;110143;NOVA UNIÃO;2;25;8;13;25;6620;26;52;6895;
TO;172010;SÃO BENTO DO TOCANTINS;2;27;7;27;19;5814;18;142;5391;
SC;420340;CAMPO BELO DO SUL;2;27;7;27;25;8273;21;108;6952;
GO;520420;CACHOEIRA DE GOIÁS;2;3;67;2;3;1934;2;67;1342;
RS;430925;GUABIJU;2;3;67;3;1;1564;1;300;1490;
MT;510729;SÃO JOSÉ DO POVO;2;3;67;3;2;2820;3;150;4450;
MG;314360;MORRO DA GARÇA;2;3;67;3;2;2994;2;150;2437;
SC;421410;PRESIDENTE NEREU;2;3;67;3;3;2162;3;100;2283;
RN;240430;GOVERNADOR DIX-SEPT ROSADO;2;31;6;31;35;11953;38;89;13076;
SP;352090;IPAUSSU;2;36;6;36;27;9005;46;133;15069;
SC;421380;PRAIA GRANDE;2;39;5;39;29;8380;25;134;7312;
SP;353230;NATIVIDADE DA SERRA;2;4;50;3;4;2606;10;75;6642;
GO;521205;JESÚPOLIS;2;4;50;4;3;2673;3;133;2506;
TO;172085;SUCUPIRA;2;4;50;4;4;2086;4;100;1986;
ES;320260;ICONHA;2;45;4;45;35;13091;37;129;13973;
ES;320030;ALFREDO CHAVES;2;48;4;48;41;15723;38;117;14636;
SC;420075;ALTO BELA VISTA;2;5;40;5;1;1894;1;500;1926;
RJ;330205;ITALVA;2;51;4;51;40;12892;47;128;15299;
MG;311550;CAXAMBU;2;51;4;51;46;15874;62;111;21610;
RJ;330570;SUMIDOURO;2;52;4;40;52;14279;57;77;15667;
SP;351515;ENGENHEIRO COELHO;2;55;4;55;44;12599;75;125;21249;
ES;320170;CONCEIÇÃO DO CASTELO;2;55;4;55;53;14099;48;104;12806;
ES;320270;ITAGUAÇU;2;57;4;57;35;14396;34;163;14023;
MG;316245;SÃO JOÃO DAS MISSÕES;2;59;3;24;59;10420;74;41;13125;
MG;310320;ARAÇAÍ;2;6;33;2;6;2640;5;33;2354;
PR;412420;SANTO ANTÔNIO DO CAIUÁ;2;6;33;2;6;2761;6;33;2626;
GO;522130;TRÊS RANCHOS;2;7;29;3;7;3182;6;43;2830;
RS;430692;ENGENHO VELHO;2;8;25;6;8;1503;5;75;982;
MG;314940;PEDRO TEIXEIRA;2;8;25;8;1;2174;1;800;1806;
MA;210670;MIRADOR;2;87;2;56;87;17106;107;64;21031;
PR;412575;SÃO PEDRO DO IGUAÇU;2;9;22;2;9;2714;19;22;5820;
MG;316590;SENADOR MODESTINO GONÇALVES;2;9;22;9;10;4073;10;90;4105;
SP;352870;MARABÁ PAULISTA;2;9;22;9;6;3739;9;150;5948;
SC;421590;SÃO BONIFÁCIO;2;9;22;9;7;3848;5;129;2814;
PA;150020;ACARÁ;20;168;12;67;168;30782;303;40;55669;
GO;520380;BRITÂNIA;20;20;100;20;17;6938;14;118;5797;
PR;412265;ROSÁRIO DO IVAÍ;20;20;100;20;19;6416;14;105;4689;
MG;315500;RIO DOCE;20;20;100;20;4;2921;4;500;2620;
SP;354250;REGINÓPOLIS;20;20;100;20;6;6902;9;333;9837;
SP;354025;PONTALINDA;20;21;95;21;12;4659;12;175;4674;
MG;317190;VIRGOLÂNDIA;20;21;95;21;12;6027;11;175;5340;
RS;431349;NOVO BARREIRO;20;21;95;21;13;4863;11;162;4175;
PB;251440;SÃO JOSÉ DE ESPINHARAS;20;21;95;21;13;4970;12;162;4656;
PB;251615;SOSSÊGO;20;21;95;21;14;4098;12;150;3594;
SC;421625;SÃO JOÃO DO OESTE;20;21;95;21;15;6841;14;140;6402;
SP;353370;OCAUÇU;20;21;95;21;17;4720;15;124;4291;
MG;310240;ALVORADA DE MINAS;20;21;95;21;17;4733;13;124;3605;
SP;351730;GUAIMBÊ;20;21;95;21;18;6497;16;117;5785;
PB;250290;BREJO DOS SANTOS;20;21;95;21;20;6880;19;105;6464;
PB;251220;PRATA;20;22;91;22;11;4949;9;200;4238;
PI;221135;VÁRZEA BRANCA;20;22;91;22;11;5874;9;200;4938;
SE;280310;ITABI;20;22;91;22;12;5001;12;183;4886;
SP;351780;GUARAÇAÍ;20;22;91;22;12;8565;12;183;8290;
SP;353960;PLANALTO;20;22;91;22;13;5463;13;169;5304;
PB;251350;SANTANA DE MANGUEIRA;20;22;91;22;14;5134;14;157;5129;
SP;352060;INDIANA;20;22;91;22;14;6001;11;157;4879;
TO;170730;DUERÉ;20;22;91;22;15;5250;13;147;4686;
PI;220211;CAMPO ALEGRE DO FIDALGO;20;22;91;22;16;5631;14;138;5069;
MG;316010;SANTO ANTÔNIO DO GRAMA;20;22;91;22;17;5094;13;129;3886;
SP;350370;ARIRANHA;20;22;91;22;17;8245;20;129;9761;
MG;311360;CAREAÇU;20;22;91;22;23;7770;20;96;6792;
RS;431065;ITATI;20;22;91;22;8;3949;5;275;2397;
RS;430512;CERRITO;20;22;91;22;9;7017;8;244;6047;
TO;171665;PEQUIZEIRO;20;23;87;23;11;4703;13;209;5512;
PR;412635;SERRANÓPOLIS DO IGUAÇU;20;23;87;23;14;5882;11;164;4477;
PB;251320;SANTA CRUZ;20;23;87;23;14;6918;13;164;6581;
PI;220560;LANDRI SALES;20;23;87;23;19;6299;16;121;5283;
SP;354540;SALTO GRANDE;20;23;87;23;20;7645;24;115;9364;
SC;420610;GRÃO PARÁ;20;23;87;23;24;7230;22;96;6595;
PR;411240;JAPURÁ;20;23;87;23;24;9511;24;96;9500;
MG;312825;GUARACIAMA;20;23;87;23;9;5787;8;256;4989;
MG;310925;BUGRE;20;24;83;24;10;5032;8;240;3983;
PI;220995;SÃO JOÃO DA VARJOTA;20;24;83;24;13;4736;13;185;4848;
PI;220515;JACOBINA DO PIAUÍ;20;24;83;24;13;6087;12;185;5729;
SP;350020;ADOLFO;20;24;83;24;14;6049;8;171;3554;
SP;351950;IBIRAREMA;20;24;83;24;14;7850;14;171;7841;
TO;170130;ARAGOMINAS;20;24;83;24;20;6217;18;120;5731;
TO;170610;CRISTALÂNDIA;20;24;83;24;23;7274;23;104;7278;
RS;430265;BROCHIER;20;24;83;24;6;5631;5;400;5104;
MG;312010;COUTO DE MAGALHÃES DE MINAS;20;25;80;25;12;4505;12;208;4423;
RS;431449;PINHEIRINHO DO VALE;20;25;80;25;13;5638;11;192;4899;
RS;430950;GUARANI DAS MISSÕES;20;25;80;25;18;7875;17;139;7463;
PI;220890;RIBEIRO GONÇALVES;20;25;80;25;20;6262;24;125;7376;
PB;250135;ASSUNÇÃO;20;26;77;26;16;5332;12;163;4029;
PI;220987;SÃO JOÃO DA FRONTEIRA;20;26;77;26;20;6434;19;130;6064;
SP;353270;NIPOÃ;20;27;74;27;15;5630;14;180;5298;
MG;314055;MATA VERDE;20;27;74;27;17;8697;17;159;8644;
RN;240510;JANDAÍRA;20;27;74;27;22;7255;21;123;6893;
TO;170300;BABAÇULÂNDIA;20;27;74;27;22;8566;28;123;10666;
BA;291330;ICHU;20;27;74;27;9;6831;8;300;6220;
MG;312310;DORES DE GUANHÃES;20;28;71;28;14;5315;14;200;5154;
PI;220323;CURRAIS;20;28;71;28;16;4862;16;175;4968;
MG;310500;BALDIM;20;28;71;28;16;9035;14;175;7803;
MG;311570;CENTRAL DE MINAS;20;28;71;28;18;7462;17;156;7046;
SP;354790;SANTO ANTÔNIO DA ALEGRIA;20;28;71;28;21;8680;17;133;6977;
RN;240933;SANTA MARIA;20;29;69;29;14;5188;15;207;5621;
TO;171900;SANTA TEREZA DO TOCANTINS;20;29;69;29;17;3752;13;171;2897;
MA;210545;JATOBÁ;20;29;69;29;22;7213;31;132;10310;
BA;292680;RIO DO ANTÔNIO;20;29;69;29;24;12317;30;121;15448;
MG;310270;CACHOEIRA DE PAJEÚ;20;30;67;30;17;8644;19;176;9442;
BA;292690;RIO DO PIRES;20;31;65;31;19;10098;22;163;11663;
SP;353080;MOGI MIRIM;20;32;63;21;32;9867;303;66;93650;
MG;313862;LIMEIRA DO OESTE;20;32;63;32;23;8481;21;139;7589;
MG;316920;TOMBOS;20;32;63;32;24;9596;20;133;7850;
RN;240630;LAGOA DE PEDRAS;20;32;63;32;32;8038;30;100;7584;
PB;250523;CUITÉ DE MAMANGUAPE;20;32;63;32;35;7492;30;91;6356;
PB;251272;PEDRO RÉGIS;20;33;61;33;14;6173;14;236;6114;
RJ;330513;SÃO JOSÉ DE UBÁ;20;33;61;33;29;7652;27;114;7206;
BA;292280;NOVA ITARANA;20;33;61;33;34;8347;34;97;8279;
SP;351690;GENERAL SALGADO;20;34;59;34;26;11726;24;131;10862;
PR;411007;IMBAÚ;20;34;59;34;34;9072;50;100;13282;
MT;510035;ALTO BOA VISTA;20;35;57;35;17;7104;17;206;6936;
RN;240380;FLORÂNIA;20;36;56;36;23;8657;26;157;9786;
MS;500348;DOIS IRMÃOS DO BURITI;20;36;56;36;28;10377;31;129;11467;
SP;355290;TACIBA;20;38;53;38;21;7361;18;181;6329;
SP;350530;BARRA BONITA;20;39;51;39;30;12971;83;130;36126;
SE;280040;ARAUÁ;20;39;51;39;43;11262;38;91;9947;
BA;291790;JANDAÍRA;20;42;48;42;38;9898;41;111;10726;
CE;231010;PALMÁCIA;20;44;45;44;20;10032;27;220;13439;
AM;130180;IPIXUNA;20;45;44;45;25;6962;108;180;30436;
SP;350780;BRODOWSKI;20;52;38;40;52;14075;93;77;25277;
RN;241010;POÇO BRANCO;20;55;36;55;44;13760;50;125;15531;
BA;290770;CHORROCHÓ;20;57;35;57;34;8877;43;168;11200;
SP;352360;ITIRAPINA;20;59;34;59;35;13528;47;169;18387;
MA;210890;POÇÃO DE PEDRAS;20;62;32;62;62;16514;66;100;17595;
BA;291350;IGUAÍ;20;63;32;63;55;16217;92;115;26963;
PA;150195;CACHOEIRA DO PIRIÁ;20;69;29;69;47;17586;92;147;34609;
BA;292310;OLINDINA;20;71;28;71;55;18871;83;129;28304;
RS;430770;ESTEIO;200;266;75;266;253;69901;301;105;83279;
PB;250890;MAMANGUAPE;200;272;74;272;284;49942;257;96;45136;
PA;150730;SÃO FÉLIX DO XINGU;200;335;60;335;155;59412;344;216;132138;
AL;270915;TEOTÔNIO VILELA;201;232;87;232;198;46221;190;117;44372;
SP;351550;FERNANDÓPOLIS;201;244;82;244;220;72793;210;111;69402;
BA;290070;ALAGOINHAS;201;521;39;434;521;116646;681;83;152327;
CE;231330;TAUÁ;202;224;90;224;239;61859;228;94;59062;
BA;293010;SENHOR DO BONFIM;202;269;75;269;278;63928;345;97;79424;
TO;171820;PORTO NACIONAL;202;423;48;319;423;62076;363;75;53316;
PE;261450;SURUBIM;203;258;79;258;269;66072;267;96;65647;
CE;231180;RUSSAS;203;278;73;278;271;70666;303;103;78882;
PE;261390;SERRA TALHADA;203;464;44;362;464;88324;457;78;86915;
SP;351510;EMBU-GUAÇU;204;273;75;273;195;51531;265;140;69901;
